"Make","Model","Price","Year","Kilometer","Engine","Max.Power","Max.Torque","Length","Width","Seating.Capacity","Fuel.Tank.Capacity"
"Honda","Amaze 1.2 VX i-VTEC",505000,2017,"87150",1198,87,109,"3990",1680,5,35
"Maruti Suzuki","Swift DZire VDI",450000,2014,"75000",1248,74,190,"3995",1695,5,42
"Hyundai","i10 Magna 1.2 Kappa2",220000,2011,"67000",1197,79,112,"3585",1595,5,35
"Toyota","Glanza G",799000,NA,"37500",1197,82,113,NA,1745,5,37
"BMW","X1 xDrive20d M Sport",2650000,2017,"75000",1995,188,400,"4439",1821,5,51
"Skoda","Octavia 1.8 TSI Style Plus AT [2017]",1390000,2017,"56000",1798,177,250,"4670",1814,5,50
"Nissan","Terrano XL (D)",575000,2015,"85000",1461,84,200,"4331",1822,5,50
"Hyundai","Elite i20 Sportz 1.2",591000,2017,"20281",1197,82,115,"3985",1734,5,45
"Maruti Suzuki","Ciaz Alpha Hybrid 1.5 AT [2018-2020]",1075000,2019,"30672",1462,103,138,"4490",1730,5,43
"Tata","Harrier XZ [2019-2020]",1695000,2019,"20856",1956,138,350,"4598",1894,5,50
"Volkswagen","Polo GT TSI",944999,NA,"41417",1197,103,175,"3971",1682,5,45
"Maruti Suzuki","Celerio ZXi AMT [2019-2020]",569000,2016,"11471",998,67,90,"3695",1600,5,35
"Maruti Suzuki","Alto 800 LXi (O)",449000,NA,"3583",796,47,69,"3445",1515,5,35
"Maruti Suzuki","Baleno Alpha Automatic",894999,2018,"21365",1197,82,113,"3995",1745,5,37
"Maruti Suzuki","Wagon R ZXi 1.2 AMT",699000,2020,"30777",1197,82,113,"3655",1620,5,32
"Hyundai","Creta 1.6 E Petrol",740000,2016,"60125",1591,122,154,NA,1780,5,60
"Maruti Suzuki","S-Presso VXi AMT",470000,2020,"2169",998,67,90,"3565",1520,5,27
"Volkswagen","Vento Comfortline Petrol AT",765000,2015,"60240",1197,103,153,"4384",1699,5,55
"Hyundai","Santro Sportz AMT [2018-2020]",589000,2018,"13772",1086,68,99,"3610",1645,5,35
"Hyundai","Venue SX 1.0 (O) Petrol [2019-2020]",999000,2019,"27464",998,118,172,"3995",1770,5,45
"Maruti Suzuki","Alto LXi CNG",370000,2019,"47377",998,58,78,"3545",1490,4,60
"Maruti Suzuki","Ritz Zxi BS-IV",325000,2013,"23086",1197,85,113,"3775",1680,5,43
"Hyundai","Creta 1.6 SX Plus Petrol",1175000,2019,"36313",1591,122,154,"4270",1780,5,60
"Honda","Brio V MT",351000,2014,"39276",1198,87,109,"3610",1680,5,35
"Hyundai","Elite i20 Asta 1.2",551000,2015,"47752",1197,82,115,"3985",1734,5,45
"Honda","WR-V VX MT Petrol",819999,2018,"27963",1199,89,110,"3999",1734,5,40
"Hyundai","Venue SX 1.0 Turbo iMT",990000,2020,"24013",998,118,172,"3995",1770,5,45
"Hyundai","Creta 1.6 SX Plus AT",925000,2016,"66000",1582,126,265,"4270",1780,5,60
"Ford","Ecosport Titanium+ 1.0L EcoBoost",535000,2015,"28000",999,124,170,"3999",1765,5,52
